Date,Description,Amount,Type,Predicted_Label
2025-06-26,Salary credited from XYZ Pvt Ltd,6218,CREDIT,INCOME
2025-06-10,Interest from Savings Account,55376,CREDIT,INCOME
2025-06-06,NPS Contribution,15837,DEBIT,SAVINGS
2025-06-17,Transfer to Fixed Deposit,41752,DEBIT,SAVINGS
2025-06-01,POS/AMAZON IN/Online Shopping,9626,DEBIT,EXPENSE
2025-06-18,Salary credited from INFOSYS LTD,47322,CREDIT,INCOME
2025-06-14,Fixed Deposit opened at ICICI Bank,45902,DEBIT,SAVINGS
2025-06-20,NPS Contribution,29106,DEBIT,SAVINGS
2025-06-25,Dining Out at Cafe Coffee Day,16403,DEBIT,EXPENSE
2025-06-10,Grocery Shopping at Flipkart,13848,DEBIT,EXPENSE
2025-06-22,Dividend from Mutual Fund,35848,CREDIT,INCOME
2025-06-15,RD Installment at HDFC Bank,11040,DEBIT,SAVINGS
2025-06-23,Salary credited from XYZ Pvt Ltd,27125,CREDIT,INCOME
2025-06-17,Maturity Proceeds from NPS,26532,DEBIT,SAVINGS
2025-06-05,Refund from Amazon,71656,CREDIT,INCOME
2025-06-25,Maturity Proceeds from NPS,2555,DEBIT,SAVINGS
2025-06-16,Goal Based Savings Transfer,36616,DEBIT,SAVINGS
2025-06-01,Transfer to Recurring Deposit,16064,DEBIT,SAVINGS
2025-06-22,Refund from Amazon,30782,CREDIT,INCOME
2025-06-12,Fixed Deposit opened at PNB,47097,DEBIT,SAVINGS
2025-06-17,Medical Consultation at Myntra,8052,DEBIT,EXPENSE
2025-06-09,NPS Contribution,14852,DEBIT,SAVINGS
2025-06-20,UPI payment to Myntra,14181,DEBIT,EXPENSE
2025-06-03,Subscription Renewal - Netflix,2830,DEBIT,EXPENSE
2025-06-19,Goal Based Savings Transfer,8940,DEBIT,SAVINGS
2025-06-11,Transfer to Child Plan,23894,DEBIT,SAVINGS
2025-06-22,POS/AMAZON IN/Online Shopping,9122,DEBIT,EXPENSE
2025-06-04,Dining Out at Big Bazaar,11019,DEBIT,EXPENSE
2025-06-20,Credit Card Bill Payment,597,DEBIT,EXPENSE
2025-06-18,Consulting payment from INFOSYS LTD,71934,CREDIT,INCOME
2025-06-05,Interest from Savings Account,1933,CREDIT,INCOME
2025-06-07,NPS Contribution,19374,DEBIT,SAVINGS
2025-06-11,Dining Out at Big Bazaar,5447,DEBIT,EXPENSE
2025-06-18,Consulting payment from XYZ Pvt Ltd,42799,CREDIT,INCOME
2025-06-16,Medical Consultation at Cafe Coffee Day,7595,DEBIT,EXPENSE
2025-06-21,Sweep-in to Savings,43286,DEBIT,SAVINGS
2025-06-10,Subscription Renewal - Netflix,2797,DEBIT,EXPENSE
2025-06-28,Dining Out at Cafe Coffee Day,2099,DEBIT,EXPENSE
2025-06-26,UPI payment to Flipkart,8498,DEBIT,EXPENSE
2025-06-16,ATM Cash Withdrawal,1997,DEBIT,EXPENSE
2025-06-06,Transfer to Recurring Deposit,13689,DEBIT,SAVINGS
2025-06-21,PPF Deposit,33979,DEBIT,SAVINGS
2025-06-15,Consulting payment from INFOSYS LTD,74567,CREDIT,INCOME
2025-06-10,Transfer to Child Plan,21345,DEBIT,SAVINGS
2025-06-11,Auto Sweep to FD,36868,DEBIT,SAVINGS
2025-06-09,Electricity Bill Payment,5114,DEBIT,EXPENSE
2025-06-11,Electricity Bill Payment,6551,DEBIT,EXPENSE
2025-06-17,PPF Deposit,27958,DEBIT,SAVINGS
2025-06-06,Sweep-in to Savings,26888,DEBIT,SAVINGS
2025-06-02,Dining Out at Apollo Pharmacy,6508,DEBIT,EXPENSE
2025-06-16,PPF Deposit,44734,DEBIT,SAVINGS
2025-06-02,Subscription Renewal - Netflix,18627,DEBIT,EXPENSE
2025-06-24,Consulting payment from INFOSYS LTD,1621,CREDIT,INCOME
2025-06-19,Mutual Fund Investment - ICICI Prudential,17021,DEBIT,SAVINGS
2025-06-07,Maturity Proceeds from FD,3413,DEBIT,SAVINGS
2025-06-27,Gift received from Family,78964,CREDIT,INCOME
2025-06-09,Recurring Deposit started at SBI,27384,DEBIT,SAVINGS
2025-06-28,ATM Cash Withdrawal,4903,DEBIT,EXPENSE
2025-06-17,Subscription Renewal - Netflix,6119,DEBIT,EXPENSE
2025-06-25,Transfer to PPF Account,19444,DEBIT,SAVINGS
2025-06-07,Grocery Shopping at Indian Oil,17132,DEBIT,EXPENSE
2025-06-19,Goal Based Savings Transfer,4656,DEBIT,SAVINGS
2025-06-21,Closure Proceeds from RD,13569,DEBIT,SAVINGS
2025-06-03,Credit Card Bill Payment,6109,DEBIT,EXPENSE
2025-06-04,POS/AMAZON IN/Online Shopping,9935,DEBIT,EXPENSE
2025-06-12,Dining Out at Flipkart,19771,DEBIT,EXPENSE
2025-06-14,Investment in UTI Flexi Cap,3507,DEBIT,SAVINGS
2025-06-04,Award for best employee,92891,CREDIT,INCOME
2025-06-17,Goal Based Savings Transfer,16896,DEBIT,SAVINGS
2025-06-05,Transfer to Fixed Deposit,38944,DEBIT,SAVINGS
2025-06-02,Transfer to Child Plan,49545,DEBIT,SAVINGS
2025-06-24,Electricity Bill Payment,658,DEBIT,EXPENSE
2025-06-25,UPI payment to Big Bazaar,9808,DEBIT,EXPENSE
2025-06-14,Gift received from Family,36371,CREDIT,INCOME
2025-06-14,Gift received from Family,95386,CREDIT,INCOME
2025-06-22,Award for best employee,4955,CREDIT,INCOME
2025-06-01,Interest from Savings Account,98579,CREDIT,INCOME
2025-06-05,Refund from Amazon,80711,CREDIT,INCOME
2025-06-16,Transfer to NPS Account,12957,DEBIT,SAVINGS
2025-06-28,Auto Sweep to FD,44843,DEBIT,SAVINGS
2025-06-26,Investment in ICICI Prudential,4591,DEBIT,SAVINGS
2025-06-22,Refund from Amazon,59176,CREDIT,INCOME
2025-06-21,Investment in Axis Bluechip,9941,DEBIT,SAVINGS
2025-06-10,Transfer to PPF Account,48104,DEBIT,SAVINGS
2025-06-01,Transfer to Fixed Deposit,12621,DEBIT,SAVINGS
2025-06-22,Transfer to NPS Account,46645,DEBIT,SAVINGS
2025-06-01,Electricity Bill Payment,18068,DEBIT,EXPENSE
2025-06-14,Transfer to Child Plan,4493,DEBIT,SAVINGS
2025-06-25,Dividend from Mutual Fund,76158,CREDIT,INCOME
2025-06-06,UPI payment to Amazon,16879,DEBIT,EXPENSE
2025-06-03,Credit Card Bill Payment,18862,DEBIT,EXPENSE
2025-06-02,RD Installment at PNB,32737,DEBIT,SAVINGS
2025-06-12,Dividend from Mutual Fund,4736,CREDIT,INCOME
2025-06-24,Dividend from Mutual Fund,19166,CREDIT,INCOME
2025-06-20,Investment in HDFC Top 100,38040,DEBIT,SAVINGS
2025-06-14,ATM Cash Withdrawal,15982,DEBIT,EXPENSE
2025-06-17,Dining Out at Cafe Coffee Day,1533,DEBIT,EXPENSE
2025-06-14,UPI payment to Apollo Pharmacy,3701,DEBIT,EXPENSE
2025-06-14,Credit Card Bill Payment,12538,DEBIT,EXPENSE
2025-06-27,ATM Cash Withdrawal,2228,DEBIT,EXPENSE
2025-06-06,Interest from Savings Account,90639,CREDIT,INCOME
2025-06-18,Salary credited from INFOSYS LTD,80774,CREDIT,INCOME
2025-06-04,Transfer to Education Fund,26025,DEBIT,SAVINGS
2025-06-09,Dining Out at Flipkart,15041,DEBIT,EXPENSE
2025-06-17,Transfer to Child Plan,43797,DEBIT,SAVINGS
2025-06-12,Dining Out at Apollo Pharmacy,7800,DEBIT,EXPENSE
2025-06-15,Salary credited from ABC Corp,93559,CREDIT,INCOME
2025-06-27,Transfer to PPF Account,26755,DEBIT,SAVINGS
2025-06-04,Medical Consultation at Apollo Pharmacy,10424,DEBIT,EXPENSE
2025-06-03,ATM Cash Withdrawal,7477,DEBIT,EXPENSE
2025-06-06,Auto Sweep to FD,30963,DEBIT,SAVINGS
2025-06-05,ATM Cash Withdrawal,5365,DEBIT,EXPENSE
2025-06-16,Mutual Fund Investment - SBI Magnum,22594,DEBIT,SAVINGS
2025-06-21,Refund from Amazon,72416,CREDIT,INCOME
2025-06-20,Credit Card Bill Payment,11256,DEBIT,EXPENSE
2025-06-20,FD Creation at Axis Bank,15213,DEBIT,SAVINGS
2025-06-06,Dining Out at Flipkart,14242,DEBIT,EXPENSE
2025-06-19,Dividend from Mutual Fund,77457,CREDIT,INCOME
2025-06-01,LIC Premium Payment,42664,DEBIT,SAVINGS
2025-06-25,Salary credited from INFOSYS LTD,63019,CREDIT,INCOME
2025-06-08,UPI payment to Myntra,4203,DEBIT,EXPENSE
2025-06-09,NPS Contribution,6885,DEBIT,SAVINGS
2025-06-04,Fixed Deposit opened at ICICI Bank,20801,DEBIT,SAVINGS
2025-06-02,Grocery Shopping at Cafe Coffee Day,11633,DEBIT,EXPENSE
2025-06-01,Transfer to NPS Account,42016,DEBIT,SAVINGS
2025-06-08,Salary credited from TCS,25789,CREDIT,INCOME
2025-06-24,Medical Consultation at Flipkart,8022,DEBIT,EXPENSE
