Date,Description,Amount,Type,Predicted_Label
2024-10-24,UPI/PI/ibullock@okicici/UPI/ICICI Bank/51322110311...,7430.26,DEBIT,Expense
2025-05-30,UPI/PI/ryandavis@okicici/UPI/ICICI Bank/51322110311...,9206.34,DEBIT,Expense
2025-01-25,UPI/PI/ppark@okicici/UPI/ICICI Bank/51322110311...,9827.94,DEBIT,Expense
2024-11-03,UPI/PI/dbennett@okicici/UPI/ICICI Bank/51322110311...,1884.5,DEBIT,Expense
2025-01-07,UPI/PI/dennisherrera@okicici/UPI/ICICI Bank/51322110311...,826.98,DEBIT,Expense
2025-04-21,UPI/PI/joseph00@okicici/UPI/ICICI Bank/51322110311...,2064.21,DEBIT,Expense
2024-07-17,UPI/PI/williamslarry@okicici/UPI/ICICI Bank/51322110311...,860.6,DEBIT,Expense
2024-11-29,UPI/PI/bvalenzuela@okicici/UPI/ICICI Bank/51322110311...,6527.65,DEBIT,Expense
2025-02-12,UPI/PI/nancycameron@okicici/UPI/ICICI Bank/51322110311...,9856.14,DEBIT,Expense
2024-11-08,UPI/PI/mcbriderichard@okicici/UPI/ICICI Bank/51322110311...,9544.81,DEBIT,Expense
2024-08-07,UPI/PI/hjohnson@okicici/UPI/ICICI Bank/51322110311...,5863.25,DEBIT,Expense
2025-02-12,UPI/PI/nlindsey@okicici/UPI/ICICI Bank/51322110311...,4142.3,DEBIT,Expense
2024-07-29,UPI/PI/stevenmiller@okicici/UPI/ICICI Bank/51322110311...,7860.11,DEBIT,Expense
2025-03-24,UPI/PI/karaharmon@okicici/UPI/ICICI Bank/51322110311...,6988.11,DEBIT,Expense
2024-09-11,UPI/PI/joshualee@okicici/UPI/ICICI Bank/51322110311...,7796.8,DEBIT,Expense
2025-05-29,UPI/PI/mgarcia@okicici/UPI/ICICI Bank/51322110311...,5391.32,DEBIT,Expense
2024-10-04,UPI/PI/valerielong@okicici/UPI/ICICI Bank/51322110311...,1132.32,DEBIT,Expense
2025-05-20,UPI/PI/laurie72@okicici/UPI/ICICI Bank/51322110311...,7616.77,DEBIT,Expense
2024-08-21,UPI/PI/ldyer@okicici/UPI/ICICI Bank/51322110311...,8931.1,DEBIT,Expense
2025-03-16,UPI/PI/smartin@okicici/UPI/ICICI Bank/51322110311...,7611.1,DEBIT,Expense
2025-05-14,UPI/PI/joseph89@okicici/UPI/ICICI Bank/51322110311...,8626.33,DEBIT,Expense
2024-11-13,UPI/PI/fowlerjames@okicici/UPI/ICICI Bank/51322110311...,3116.48,DEBIT,Expense
2024-07-19,UPI/PI/glasszachary@okicici/UPI/ICICI Bank/51322110311...,9155.17,DEBIT,Expense
2024-10-30,UPI/PI/christian72@okicici/UPI/ICICI Bank/51322110311...,9072.44,DEBIT,Expense
2025-01-12,UPI/PI/mckinneycrystal@okicici/UPI/ICICI Bank/51322110311...,2504.91,DEBIT,Expense
2024-12-03,UPI/PI/nelsonamy@okicici/UPI/ICICI Bank/51322110311...,9378.1,DEBIT,Expense
2024-09-08,UPI/PI/mckenziekaren@okicici/UPI/ICICI Bank/51322110311...,4137.48,DEBIT,Expense
2024-10-05,UPI/PI/jreese@okicici/UPI/ICICI Bank/51322110311...,1876.86,DEBIT,Expense
2024-07-04,UPI/PI/tammyhamilton@okicici/UPI/ICICI Bank/51322110311...,9289.79,DEBIT,Expense
2024-10-21,UPI/PI/lori30@okicici/UPI/ICICI Bank/51322110311...,187.6,DEBIT,Expense
